54 (0.0465116)
34 39 10 (0.0465116)
34 39 0 (0.0465116)
34 32 26 (0.0465116)
34 32 46 (0.0465116)
34 32 35 (0.0465116)
34 32 31 (0.0465116)
34 32 28 (0.0465116)
34 32 25 (0.0465116)
34 32 16 (0.0465116)
34 32 10 (0.0465116)
34 32 0 (0.0465116)
34 26 46 (0.0465116)
34 26 35 (0.0465116)
34 26 31 (0.0465116)
34 26 28 (0.0465116)
34 26 25 (0.0465116)
34 26 16 (0.0465116)
34 26 10 (0.0465116)
34 26 0 (0.0465116)
34 46 35 (0.0465116)
34 46 31 (0.0465116)
34 46 28 (0.0465116)
34 46 25 (0.0465116)
34 46 16 (0.0465116)
34 46 10 (0.0465116)
34 46 0 (0.0465116)
34 35 31 (0.0465116)
34 35 28 (0.0465116)
34 35 25 (0.0465116)
34 35 16 (0.0465116)
34 35 10 (0.0465116)
34 35 0 (0.0465116)
34 31 28 (0.0465116)
34 31 25 (0.0465116)
34 31 16 (0.0465116)
34 31 10 (0.0465116)
34 31 0 (0.0465116)
34 28 25 (0.0465116)
34 28 16 (0.0465116)
34 28 10 (0.0465116)
34 28 0 (0.0465116)
34 25 16 (0.0465116)
34 25 10 (0.0465116)
34 25 0 (0.0465116)
34 16 10 (0.0465116)
34 16 0 (0.0465116)
34 10 0 (0.0465116)
69 1 0 (0.0465116)
70 71 0 (0.0465116)
80 10 0 (0.0465116)
14 15 17 (0.0465116)
14 15 20 (0.0465116)
14 15 10 (0.0465116)
14 15 0 (0.0465116)
14 17 20 (0.0465116)
14 17 10 (0.0465116)
14 17 0 (0.0465116)
14 20 10 (0.0465116)
14 20 0 (0.0465116)
14 10 0 (0.0465116)
21 22 23 (0.0465116)
21 22 27 (0.0465116)
21 22 26 (0.0465116)
21 22 31 (0.0465116)
21 22 28 (0.0465116)
21 22 25 (0.0465116)
21 22 16 (0.0465116)
21 22 10 (0.0465116)
21 22 0 (0.0465116)
21 23 27 (0.0465116)
21 23 26 (0.0465116)
21 23 31 (0.0465116)
21 23 28 (0.0465116)
21 23 25 (0.0465116)
21 23 16 (0.0465116)
21 23 10 (0.0465116)
21 23 0 (0.0465116)
21 27 26 (0.0465116)
21 27 31 (0.0465116)
21 27 28 (0.0465116)
21 27 25 (0.0465116)
21 27 16 (0.0465116)
21 27 10 (0.0465116)
21 27 0 (0.0465116)
21 26 31 (0.0465116)
21 26 28 (0.0465116)
21 26 25 (0.0465116)
21 26 16 (0.0465116)
21 26 10 (0.0465116)
21 26 0 (0.0465116)
21 31 28 (0.0465116)
21 31 25 (0.0465116)
21 31 16 (0.0465116)
21 31 10 (0.0465116)
21 31 0 (0.0465116)
21 28 25 (0.0465116)
21 28 16 (0.0465116)
21 28 10 (0.0465116)
21 28 0 (0.0465116)
21 25 16 (0.0465116)
21 25 10 (0.0465116)
21 25 0 (0.0465116)
21 16 10 (0.0465116)
21 16 0 (0.0465116)
21 10 0 (0.0465116)
24 22 26 (0.0465116)
24 22 31 (0.0465116)
24 22 28 (0.0465116)
24 22 25 (0.0465116)
24 22 16 (0.0465116)
24 22 10 (0.0465116)
24 22 0 (0.0465116)
24 26 31 (0.0465116)
24 26 28 (0.0465116)
24 26 25 (0.0465116)
24 26 16 (0.0465116)
24 26 10 (0.0465116)
24 26 0 (0.0465116)
24 31 28 (0.0465116)
24 31 25 (0.0465116)
24 31 16 (0.0465116)
24 31 10 (0.0465116)
24 31 0 (0.0465116)
24 28 25 (0.0465116)
24 28 16 (0.0465116)
24 28 10 (0.0465116)
24 28 0 (0.0465116)
24 25 16 (0.0465116)
24 25 10 (0.0465116)
24 25 0 (0.0465116)
24 16 10 (0.0465116)
24 16 0 (0.0465116)
24 10 0 (0.0465116)
47 49 25 (0.0465116)
47 49 16 (0.0465116)
47 49 0 (0.0465116)
47 35 31 (0.0465116)
47 35 0 (0.0465116)
47 31 0 (0.0465116)
